path,partition,bytes,lines,sha256
fftlib/include/fftlib/fftlib_constants.hpp,representation,590,25,eba2aca6453eee1c2f02cc74e5f7bab8e7f82afc339ac4dbbc5dbd5332ed0a16
fftlib/include/fftlib/fftlib_dynamic_lib.hpp,representation,5336,133,7e36fae56063ed2b90f9b3e92b40c96a48bf81b3580863d0ec7a8667d41aeb9a
fftlib/include/fftlib/fftlib_dynamic_lib_implementation.hpp,representation,5174,158,0748219b1f78015d7d393125e98c1b6e27f9d1f71b9fe3d80323f3de89af77b8
fftlib/include/fftlib/fftlib_dynamic_lib_implementation_fftw.hpp,representation,17167,473,9f2ce1f3f9a42e6cfb43281121bf4e70d11d57df525d21b4b3bacdd4a719a465
fftlib/include/fftlib/fftlib_ext_plan.hpp,representation,1027,57,b0c8dd7f40d51ed2e5b3a13b249929f162a4ebfe34773779671018e893c2e0de
fftlib/include/fftlib/fftlib_ext_plan_implementation.hpp,representation,331,21,8c1d433af219e090745eab06f93e550a4185fa1c7ac59580929584eb011db757
fftlib/include/fftlib/fftlib_implementation.hpp,representation,15689,424,7268b3354c8f5f1bbedaac63d61b5bfe3c12a6bb23b38462d190801778a96cd2
fftlib/include/fftlib/fftlib_macros.hpp,representation,1337,63,2fe281cd0e4099f9cd4ebcf0b09658bb8e4daa8fc36d557d456ca462aab1ea1b
fftlib/include/fftlib/fftlib_plan.hpp,representation,564,28,47f02d193e54964bf81980a223846fe0e758c6f50490f6e6e7f961203c7472ef
fftlib/include/fftlib/fftlib_plan_implementation.hpp,representation,1217,37,e7b1e23568eb083eb34c6c80e055582fcf2d71d100ebab37a27665eabcc51e1a
fftlib/include/fftlib/fftlib_reader_writer_lock.hpp,representation,616,35,b94b013f4d270e85a27b5b337edb47755fd0e3801806638504ecb26e3bf7e301
fftlib/include/fftlib/fftlib_reader_writer_lock_implementation.hpp,representation,3105,95,2369899607194afb63289d542f92f793b0eea5971568a9222379211a8e226453
fftlib/include/fftlib/fftlib_types.hpp,representation,1836,81,e2bb2ca2d42dcbc3c283f2ab51242dc9436727af02408f5df1d15c02398590a4
fftlib/makefile,representation,192,12,b4455a311a6a7b4a8bef5fce1f4521df4bc3731b9699b93199c7100b6981f8ae
fftlib/src/fftlib.cpp,representation,23187,659,67684beb15e8bf1418b57edcf84940139e2eff78d388685d4302858aec5cf8a2
ffttest.F,representation,4047,168,84ef58540d1f3ad65a7add184c79a6cd4e4495edefdc29560d39694bdff89074
fftw.F,representation,33570,1076,045cdcae86380e5803cae5bab7ab07b88b14333c6e31402ac293d49546819467
fileio.F,io,67685,2205,9107ff11ca61be508ef2bc5558745ea4deb0edd53ef905a4b7863a4483efd627
finite_diff.F,vibrations,86753,2622,cabb3f44585a0bfe2a336a0024343ae4da1ddf43d3ab105c183d3c850c8947d3
fock.F,nonlocal_interactions,215329,5729,bc521a4ca8246bfd6abc41b06251704018d31119398542d2a66ecbde70d95188
fock_ace.F,nonlocal_interactions,18062,592,f9620cc5d3e099f4697fd03a234ef9c89dd941d3e482ff4690a94fc44bf2f863
fock_dbl.F,nonlocal_interactions,51433,1589,45114c87326e4e13d1bb3b8cefabc33cb5ad276aecc99bd56df0c39adb39ac26
fock_frc.F,nonlocal_interactions,36572,1136,f9d926e35bac7bc589955850b3c31f31b2dd108c79d12a04ca72aa5f4452d75d
fock_glb.F,nonlocal_interactions,10478,294,bed12900a44fa9816480e92d56662a59e605db0436f28f913c1471878abb3f9c
fock_multipole.F,nonlocal_interactions,44818,1452,15e3b7162fe39eef0eb7029adb1b9b9c50394be413da0c4b4320fabdfec8e5db
force.F,ions,95797,2597,269e865dc3f30e71427e7e16f4a8f3c1eae16e91f7a9685f68ec1f4173e91890
gadget.inc,ions,7269,134,df4c47e86c47965bf7d7740e1f6aded5f31bf0df62264d750aabd3a57f0e96a6
gauss_quad.F,numerics,66978,2548,fe9b1ee03ac0647ddc5988e29415660133a47d6ec8f9d71c2305ed5f05c25c07
ggalib.F,xc,190853,5190,55a8c2cd8e9df062d273a616b5e5d9b9f40b4393de7af4ad085cc0d8d1d30bc1
greens_orbital.F,many_body,128176,3186,7dc3417514cb4d4e80b8c641191597a823f25f7f429283ce31f45fb151c945ba
greens_real_space.F,many_body,370057,9387,b34172fdc528310cd3f0ebe9ae906cb321f5bd45a734783a487379acea7302bc
gridq.F,representation,53091,1842,1303005218c300bab10e4e796936c121580837d392d8b8b5f7f007704deaaef8
gw_model.F,many_body,20625,595,fcc71e7cc84ee988241c47758bdf0469373b1eb6f1e7f5baa34a908a8149df9e
hamil.F,electrostatics,103116,3366,91b2d92fcac0380d0b8e99062f59b651d2dad29e44127bee8a906659579d7b22
hamil_lr.F,response,27772,799,e90c132d39173101efd5944b1467cff2a3af95fb7c5c47c6b76eb59bbe72622f
hamil_lrf.F,response,40230,1178,6f21896ca1eb50b47a54c2c52e88242ff113dd3dbf879c9db156ee77c82e7166
